id,start,end,duration,text_len,text,video_id
0,0.0,3.0,3.0,51,Còn bây giờ sẽ là những thông tin dự báo thời tiết.,c3b8zWO3d8s
1,3.0,8.0,5.0,88,"Chị Quỳnh Anh, ngày hôm nay thì mấy hôm nay ở Hà Nội, miền Bắc thì trời âm u, mưa ẩm cả.",c3b8zWO3d8s
2,8.0,11.0,3.0,63,Nhưng mà ở miền Nam thì bắt đầu bước vào đợt nắng nóng đầu mùa.,c3b8zWO3d8s
3,11.0,14.0,3.0,60,Thông tin cụ thể như thế nào? Mời chị cung cấp cho khán giả.,c3b8zWO3d8s
4,14.0,18.0,4.0,97,"Dạ vâng, ngày hôm nay thì Nam Bộ rất là nắng nóng để có thể biết được mức độ ngày hôm nay ra sao.",c3b8zWO3d8s
5,18.0,21.0,3.0,71,Thì mời anh Dương và quý vị khán giả cùng tôi theo dõi hình ảnh thực tế,c3b8zWO3d8s
6,21.0,24.0,3.0,53,được ghi nhận tại thành phố Hồ Chí Minh ngay sau đây.,c3b8zWO3d8s
7,24.0,29.0,5.0,74,Ngày hôm nay thì trời không có một cợn mây che nắng xanh ngắt như thế này.,c3b8zWO3d8s
8,29.0,32.0,3.0,47,Mọi người đi đường đều phải bịt kín cho đỡ rác.,c3b8zWO3d8s
9,32.0,37.0,5.0,82,Nhiệt độ ngày hôm nay thì cũng tương bằng với mức nhiệt của ngày hôm qua là 36 độ.,c3b8zWO3d8s
10,37.0,43.0,6.0,82,"Nhưng ai cũng cảm thấy khô hơn do độ ẩm tiếp tục giảm, chỉ còn là 23% cực kỳ thấp.",c3b8zWO3d8s
11,43.0,47.0,4.0,64,Cao điểm của đợt nóng này sẽ còn duy trì trong 2 ngày cuối tuần.,c3b8zWO3d8s
12,47.0,51.0,4.0,55,Sự báo nhiệt độ tại thành phố Hồ Chí Minh vẫn là 36 độ.,c3b8zWO3d8s
13,51.0,54.0,3.0,43,2 tuần sau thì sẽ giảm nhẹ xuống còn 35 độ.,c3b8zWO3d8s
14,54.0,59.0,5.0,83,"Sáng tới ngày mai, diện nóng vẫn sẽ bao trùm hầu khắp khu vực miền đông của Nam Bộ,",c3b8zWO3d8s
15,59.0,63.0,4.0,53,"xuống tới Long An, Đồng Tháp, Vĩnh Long và Hậu Giang.",c3b8zWO3d8s
16,63.0,66.0,3.0,33,Nhiệt độ phổ biến ở mức 35-36 độ.,c3b8zWO3d8s
17,66.0,71.0,5.0,71,"Riêng với Đồng Nai, Bình Phước hay Bình Dương thì còn có thể đạt 37 độ.",c3b8zWO3d8s
18,71.0,75.0,4.0,79,Cuối cùng sẽ là phần sự báo thời tiết cho các thành phố trong 2 ngày cuối tuần.,c3b8zWO3d8s
19,75.0,77.0,2.0,48,"Tại thành phố Cần Thơ, nằm ngoài vùng nắng nóng,",c3b8zWO3d8s
20,77.0,80.0,3.0,52,nhưng với mức nhiệt 34 độ thì trời cũng khá là nóng.,c3b8zWO3d8s
21,80.0,83.0,3.0,55,"Tối và đêm trời dịu mát, nhiệt độ giảm xuống còn 24 độ.",c3b8zWO3d8s
22,84.0,86.0,2.0,40,"Thành phố Huế, ngày mai trời nắng 31 độ.",c3b8zWO3d8s
23,86.0,90.0,4.0,65,"Sáng ngày mai, chủ nhật có thể có mưa, nhiệt độ giảm xuống 29 độ.",c3b8zWO3d8s
24,92.0,95.0,3.0,64,"Tại thủ đô Hà Nội, đêm nay và sáng mai vẫn có mưa nhỏ, mưa phùn.",c3b8zWO3d8s
25,95.0,98.0,3.0,58,Ngày chủ nhật trời sẽ rét hơn khi mà có không khí lạnh về.,c3b8zWO3d8s
26,98.0,101.0,3.0,29,Nhiệt độ đêm nay là 17-19 độ.,c3b8zWO3d8s
27,110.0,114.0,4.0,69,Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,c3b8zWO3d8s
