id,start,end,duration,text_len,text,video_id
0,0.0,8.5,8.5,157,Sáng nay do ảnh hưởng của mưa bão số 2 tại Hà Nội thì các em học sinh đi thi vào lớp 10 trong phổ thông đã phải rất là vất vả mới có thể đến được trường thi.,rkkvrvBeNp8
1,8.5,14.0,5.5,133,Những ngày tới sẽ còn tiếp tục diễn ra kỳ thi vào các trường chuyên và không biết tình hình thời tiết sẽ như thế nào chị Tùng Thương?,rkkvrvBeNp8
2,14.0,21.0,7.0,162,Vâng trước ngay thì xin được chia sẻ với các bộ phụ huynh và các em học sinh trong sáng nay khi mà đi thi gặp phải cái thời tiết nó quá là mưa to gió lớn như vậy.,rkkvrvBeNp8
3,21.0,26.0,5.0,109,Và ngay trong buổi sáng ngày hôm nay thì nhiều em tới trường thi quý vị có thể thấy là áo ướt sũ như thế này.,rkkvrvBeNp8
4,26.0,32.0,6.0,112,Cũng rất may là nhiều trường thì cũng đã kịp cung cấp cho các em những cái bộ đồng phục để có thể kịp thời dùng.,rkkvrvBeNp8
5,32.0,37.0,5.0,93,Thời tiết trong tuần tới thì cũng không mây dễ chịu và chuyển hẳn từ mưa rông sang nắng nóng.,rkkvrvBeNp8
6,37.0,46.0,9.0,135,Dự báo vào ngày mai thì nhiệt độ sẽ tăng khoảng 3 độ so với ngày hôm nay trời lại còn có nóng nữa cho nên là đã cảm thấy là oi bức rồi.,rkkvrvBeNp8
7,46.0,55.0,9.0,116,Và từ ngày 15 cho đến ngày 17 tháng 6 tức là từ thứ 3 cho đến thứ 5 thì nhiệt độ còn có thể lên đến ngưỡng là 36 độ.,rkkvrvBeNp8
8,55.0,61.0,6.0,117,"Trong thời gian này thì nhiều trường trung học phổ thông chuyên của Hà Nội như là chuyên ngoại ngữ, Hà Nội Amsterdam,",rkkvrvBeNp8
9,61.0,65.0,4.0,87,"chuyên sư phạm, chuyên khoa học tự nhiên cũng sẽ tổ chức kỳ thi thuyển sinh vào lớp 10.",rkkvrvBeNp8
10,65.0,69.0,4.0,95,Và với một cái điều kiện thời tiết nắng nóng của những ngày tới thì khi đi thi quý vị phụ huynh,rkkvrvBeNp8
11,69.0,76.0,7.0,113,cần phải chủ ý những cái biện pháp chống nắng và chuẩn bị đầy đủ nước uống để tránh cảm nóng cho các em học sinh.,rkkvrvBeNp8
12,76.0,80.0,4.0,91,Nhất là trong cái bối cảnh dịch như hiện nay thì chúng ta không được phép sử dụng điều hòa.,rkkvrvBeNp8
13,80.0,88.0,8.0,114,Với miền Trung thì dự báo từ thứ 3 tuần tới nắng nóng cũng sẽ xảy ra trên diện rộng từ Bắc Bộ cho đến tận Phú Yên.,rkkvrvBeNp8
14,88.0,94.0,6.0,73,"Với nhiệt độ cao nhất dự báo là 35, 37 độ thậm chí có nơi là 38 và 39 độ.",rkkvrvBeNp8
15,94.0,98.0,4.0,73,Tiếp theo thì sẽ là những thông tin dự báo chi tiết cho một số thành phố.,rkkvrvBeNp8
16,98.0,102.0,4.0,50,"Hải Phòng đêm nay không có mưa, nhiệt độ là 26 độ.",rkkvrvBeNp8
17,102.0,106.0,4.0,55,"Vào ngày mai thì trời nắng, nhiệt độ cao nhất là 32 độ.",rkkvrvBeNp8
18,106.0,110.0,4.0,57,"Nha Trang đêm nay cũng tại giá mát mẻ, nhiệt độ là 26 độ.",rkkvrvBeNp8
19,110.0,113.0,3.0,51,"Ngày mai nắng nhiều và khá nóng, nhiệt độ là 34 độ.",rkkvrvBeNp8
20,113.0,117.0,4.0,57,"Thành phố Hồ Chí Minh đêm có mưa vài nơi, nhiệt độ 26 độ.",rkkvrvBeNp8
21,117.0,121.0,4.0,68,"Sáng ngày mai có mưa rông về trời tối, còn ban ngày trời nắng 34 độ.",rkkvrvBeNp8
